# 权限码目录（code / 中文名 / 模块 / 后端是否强制）。gen-perm-catalog.py 读它生成 SQL。
# 新增 @perm.can 的码时必须在这里补一行 —— PermCatalogCoverageTest 会拦。
system:login_setting:read	登录设置 查看	system	1
system:login_setting:update	登录设置 编辑	system	1
system:market:read	多国家市场 查看	system	1
system:market:update	多国家市场 编辑	system	1
system:notify_blacklist:read	触达拉黑 查看	system	1
system:notify_blacklist:update	触达拉黑 处置	system	1
system:notify_log:read	发送记录 查看	system	1
system:notify_log:update	发送记录 重发	system	1
system:notify_template:read	通知模板 查看	system	1
system:notify_template:update	通知模板 编辑	system	1
system:openapi:read	OpenAPI 应用 查看	system	1
system:openapi:update	OpenAPI 应用 维护	system	1
system:param:read	系统参数 查看	system	1
system:param:update	系统参数 维护	system	1
system:payment_channel:read	支付渠道 查看	system	1
system:payment_channel:update	支付渠道 配置	system	1
system:problem:read	问题类型 查看	system	1
system:problem:update	问题类型 编辑	system	1
system:region:read	地区库 查看	system	1
system:tax:read	税率与发票 查看	system	1
system:tax:update	税率与发票设置 编辑	system	1
user:cuser:read	用户 查看	user	1
user:member:read	会员 查看	user	1
user:member:update	会员 编辑	user	1
user:risk:read	风控名单 查看	user	1
user:risk:update	风控/黑名单 处置	user	1
user:wallet:read	钱包 查看	user	1
user:wallet:update	用户钱包 调账	user	1
user:logoff:read	注销申请 查看	user	1
user:logoff:revoke	注销申请 代为撤销	user	1
user:invoice:read	C端开票申请 查看	user	1
user:invoice:handle	C端开票申请 处理	user	1
workorder:*	工单 全部	workorder	0
workorder:alarm:config	告警代码/通知规则 配置	workorder	1
workorder:alarm:update	告警规则 维护	workorder	1
workorder:inspection:update	巡检计划 配置	workorder	1
workorder:sla:update	SLA 配置	workorder	1
workorder:wo:audit	工单 审核	workorder	1
workorder:wo:close	工单 验收关单	workorder	1
workorder:wo:create	工单 开单	workorder	1
workorder:wo:dispatch	工单 派单/退回	workorder	1
workorder:wo:handle	工单 接单/处理/完成	workorder	1
workorder:wo:process	工单 处理	workorder	1
workorder:wo:read	工单 查看/看板	workorder	1
workorder:wo:update	工单 编辑	workorder	1
